Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year,Labor_rate (%)
An Giang,608.8,2153.3,98.6,0.1,1275.8,Mekong Delta,2013,59.248595179491936
Kien Giang,273.2,1734.3,100.7,0.61,990.8,Mekong Delta,2013,57.12967767975552
Can Tho,871.9,1228.5,98.7,0.83,698.6,Mekong Delta,2013,56.86609686609687
Hau Giang,478.2,766.2,101.4,0.31,462.3,Mekong Delta,2013,60.33672670321065
Soc Trang,394.0,1304.7,98.3,0.24,729.3,Mekong Delta,2013,55.897907564957464
Bac Lieu,353.9,873.6,98.5,0.5,504.5,Mekong Delta,2013,57.74954212454212
Ca Mau,229.3,1214.2,100.7,0.18,696.2,Mekong Delta,2013,57.33816504694449
Ha Noi,2134.0,7095.9,95.0,1.7,3832.4,Hong river Delta,2014,54.00865288405981
Vinh Phuc,842.0,1041.9,96.8,1.22,631.2,Hong river Delta,2014,60.58162971494385
Bac Ninh,1375.0,1131.2,96.7,2.08,658.2,Hong river Delta,2014,58.18599717114569
Quang Ninh,197.0,1199.4,100.5,1.01,697.2,Hong river Delta,2014,58.12906453226613
Hai Duong,1065.0,1763.2,95.8,0.65,1049.5,Hong river Delta,2014,59.52245916515426
Hai Phong,1274.0,1946.0,98.7,1.08,1127.7,Hong river Delta,2014,57.94964028776979
Hung Yen,1251.0,1158.1,97.3,0.56,705.0,Hong river Delta,2014,60.87557205768069
Thai Binh,1139.0,1788.7,93.7,0.03,1115.3,Hong river Delta,2014,62.352546542181464
Ha Nam,927.0,799.4,97.3,0.43,472.4,Hong river Delta,2014,59.09432074055542
Nam Dinh,1116.0,1845.6,96.1,0.31,1157.8,Hong river Delta,2014,62.73298656263546
Ninh Binh,679.0,935.8,96.2,0.93,585.8,Hong river Delta,2014,62.598845907245135
Ha Giang,100.0,788.8,100.4,1.68,505.3,Midlands and northern mountains,2014,64.05933062880325
Cao Bang,78.0,520.2,98.0,0.43,357.3,Midlands and northern mountains,2014,68.68512110726644
Bac Kan,63.0,307.3,101.0,0.69,219.6,Midlands and northern mountains,2014,71.46111291897168
Tuyen Quang,128.0,753.8,98.7,0.88,485.1,Midlands and northern mountains,2014,64.35394003714514
Lao Cai,104.0,665.2,102.4,1.41,412.6,Midlands and northern mountains,2014,62.02645820805772
Yen Bai,114.0,783.5,99.5,1.16,503.5,Midlands and northern mountains,2014,64.26292278238672
Thai Nguyen,332.0,1173.2,97.2,1.49,715.9,Midlands and northern mountains,2014,61.02113876576883
Lang Son,91.0,753.7,100.0,0.53,505.1,Midlands and northern mountains,2014,67.01605413294413
Bac Giang,422.0,1624.5,98.7,1.03,1022.6,Midlands and northern mountains,2014,62.948599569098185
Phu Tho,385.0,1360.2,97.3,0.67,839.6,Midlands and northern mountains,2014,61.72621673283341
Dien Bien,56.0,538.1,100.2,1.82,345.4,Midlands and northern mountains,2014,64.18881248838505
Lai Chau,46.0,415.3,101.1,2.38,251.1,Midlands and northern mountains,2014,60.46231639778473
Son La,82.0,1166.4,101.5,1.38,734.7,Midlands and northern mountains,2014,62.98868312757202
Hoa Binh,177.0,817.4,98.5,0.86,550.7,Midlands and northern mountains,2014,67.3721556153658
Thanh Hoa,314.0,3496.1,97.9,0.53,2231.8,North Central and Central Coast,2014,63.836846772117504
Nghe An,184.0,3037.4,98.7,0.87,1953.1,North Central and Central Coast,2014,64.30170540593927
Ha Tinh,209.0,1255.3,96.5,0.49,727.8,North Central and Central Coast,2014,57.9781725483948
Quang Binh,108.0,868.2,100.2,0.56,528.9,North Central and Central Coast,2014,60.919143054595715
